末级知识点,打标解读（标绿的标签，新题不再打）,大模型压缩+人工微调的释义,原始释义是否有理解问题/压缩后的释义是否依然存在问题,"常见题干（3-10个）
（根据题目常见问法的多样性匹配题干数量）","多知识点题干（3-10个）
（根据题目变式或组合的多样性匹配题干数量）","多知识点题干ID
(只粘有理解成本的)",所含其他知识点（除当前知识点外）,人员,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->语音->字母,"① 常见题型：单选题，填空题，抄写题
② 题干关键词：含有“字母”“字母表”“元音字母”“辅音字母”“spell” “letters”“letter”“vowel”
③ 涉及考查知识点有：字母的书写，字母的顺序，辨别元音字母和辅音字母，字母的发音，字母在单词中的发音；其中，如涉及到考查字母的发音，除了打此标签，还可同时打这几个标签：“单个元音字母的发音”“单个辅音字母的发音”
注意：如考查字母组合的发音，或者划线部分大于一个字母，不打此标签，需要打“知识点->语音->读音->字母组合的发音”","① 常见题型：单选题，填空题，抄写题
② 题干关键词：含有“字母”“字母表”“元音字母”“辅音字母”“spell” “letters”“letter”“vowel”
③ 涉及考查知识点有：字母的书写，字母的顺序，辨别元音字母和辅音字母，字母的发音，字母在单词中的发音；其中，如涉及到考查字母的发音，除了打此标签，还可同时打这几个标签：“单个元音字母的发音”“单个辅音字母的发音”
注意：如考查字母组合的发音，或者划线部分大于一个字母，不打此标签，需要打“知识点->语音->读音->字母组合的发音”",否,"【单选】请选出按字母表顺序排列正确的选项。
A. k, n, o, t
B. e, f, h, g
C. r, s, u, t
D. a, c, b, d
【单选】下列都属于元音字母的一项是 ________。
A.a e f
B.e o f
C.a o i
D.f o u
【单选】英语中有两个字母可以独立成词，它们分别是________和________，其中________作为单词时，要大写。
A. O; A; A B. O; A; O C. A; I; I D. A; L; L
【单选】选出下列单词画线部分的发音。
【填空】按顺序补全字母
Qq _____Ss
【填空】根据字母表的顺序写出下列字母的前两个字母。
_____ _____Rr
【抄写题】将下列句子正确地抄写在四线三格中。
②What are you going to do tomorrow?",从A、B、C、D 四个选项中选出字母所含元音发音不同或单词划线部分发音不同的选项，并把答题卡上对应题目的答案标号涂黑。,3448962287636615168,"知识点->语音->读音->单个元音字母的发音

知识点->语音->读音->单个辅音字母的发音
",梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->语音->读音->单个元音字母的发音,"① 常见题型：单选题
②题干关键词：下列单词中字母/划线部分与其他项发音不同的是、pronounced、different sound、pronunciation、underlined、letter、the same sound
③ 涉及考查知识点有：单个元音字母在单词中的发音，常在单选中要求学生选出相同的元音字母在不同单词中的发音区别
注意：① 因为题干大部分不会明确含有“元音字母”这样的字样，所以需要区分一下是考元音字母还是辅音字母的发音
② 如考查字母组合的发音，或者划线部分大于一个字母，不打此标签","① 常见题型：单选题
②题干关键词：下列单词中字母/划线部分与其他项发音不同的是、pronounced、different sound、pronunciation、underlined、letter、the same sound
③ 涉及考查知识点有：单个元音字母在单词中的发音，常在单选中要求学生选出相同的元音字母在不同单词中的发音区别
注意：① 因为题干大部分不会明确含有“元音字母”这样的字样，所以需要区分一下是考元音字母还是辅音字母的发音
② 如考查字母组合的发音，或者划线部分大于一个字母，不打此标签",否,"从 A、B、C、D 四个选项中选出字母所含元音或单词划线部分发音与其他不同的选项，并把答题卡上对应题目的答案标号涂黑。

下列单词中字母o和其他项发音不同的一项是     .
【最常见】选出划线部分读音不同的一项。
The ""a"" in the word ""table"" is pronounced as _______.
Which letter has a different sound?","阅读各个小题中的每个单词，注意划线字母的读音，然后找出发音与所给的音标不同的选项。
/ə/
A.together
B.total
C.violin",3490588379940690000,"知识点->语音->字母

",梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->语音->读音->单个辅音字母的发音,"① 常见题型：单选题
②题干关键词：下列单词中字母/划线部分与其他项发音不同的是、pronounced、pronunciation、underlined、letter、the same sound
③ 涉及考查知识点有：单个辅音字母在单词中的发音，常在单选中要求学生选出相同的元音字母在不同单词中的发音区别
注意：① 因为题干大部分不会明确含有“辅音字母”这样的字样，所以需要区分一下是考元音字母还是辅音字母的发音
② 如考查字母组合的发音，或者划线部分大于一个字母，不打此标签","① 常见题型：单选题
②题干关键词：下列单词中字母/划线部分与其他项发音不同的是、pronounced、pronunciation、underlined、letter、the same sound
③ 涉及考查知识点有：单个辅音字母在单词中的发音，常在单选中要求学生选出相同的元音字母在不同单词中的发音区别
注意：① 因为题干大部分不会明确含有“辅音字母”这样的字样，所以需要区分一下是考元音字母还是辅音字母的发音
② 如考查字母组合的发音，或者划线部分大于一个字母，不打此标签",否,"下列单词中字母o和其他项发音不同的一项是     .
选出划线部分读音不同的一项。
","Which is the underlined part in     has the same pronunciation.

A.jacket, change
B.cheap, school
C.person, reason
D.sugar, usually",3490498662536610000,"知识点->语音->字母

",梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->语音->读音->字母组合的发音,"① 常见题型：单选题
②题干关键词：下列单词中字母/划线部分与其他项发音不同的是、pronounced、pronunciation、underlined、letter group、the same sound
③ 涉及考查知识点有：字母组合在单词中的发音
注意：① 因为题干和上面两个末级很像，所以注意区分，划线部分大于＞＝2个字母打此标签
② 如考查单个字母的发音，或者划线部分为一个字母，不打此标签，打“知识点->语音->读音->单个辅音字母的发音”或者“知识点->语音->读音->单个元音字母的发音”","① 常见题型：单选题
②题干关键词：下列单词中字母/划线部分与其他项发音不同的是、pronounced、pronunciation、underlined、letter group、the same sound
③ 涉及考查知识点有：字母组合在单词中的发音
注意：① 因为题干和上面两个末级很像，所以注意区分，划线部分大于＞＝2个字母打此标签
② 如考查单个字母的发音，或者划线部分为一个字母，不打此标签，打“知识点->语音->读音->单个辅音字母的发音”或者“知识点->语音->读音->单个元音字母的发音”",否,"读一读，找出画线部分发音不同的单词。
Which of the following underlined part is different in pronunciation from the others?
在A、B、C、D四个选项中,选出划线部分读音与其余三个不同的选项。 
Which two words contain (包含) the same pronunciation?",/,/,/,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->语音->读音->单词的读音,"① 常见题型：单选题、单词拼写（根据音标写单词）、听力单选（听录音选单词）
② 题干关键词：单词、读音 / 发音 / pronunciation、重音 / stress / stressed
③ 涉及考查知识点有：根据音标写单词；单词的读音对比（如同音词、近音词辨别）；单词重音位置（多音节词的重读判断）；单词中无划线部分的整体读音判断
注意：① 如考查单词的重音位置，则同时打此标签以及“知识点->语音->读音->语音特征、变化”
② 如考查“连读、弱读、同化”，句子的语调，停顿等，不打此签，只打“知识点->语音->读音->语音特征、变化”","① 常见题型：单选题、单词拼写（根据音标写单词）、听力单选（听录音选单词）
② 题干关键词：单词、读音 / 发音 / pronunciation、重音 / stress / stressed
③ 涉及考查知识点有：根据音标写单词；单词的读音对比（如同音词、近音词辨别）；单词重音位置（多音节词的重读判断）；单词中无划线部分的整体读音判断
注意：① 如考查单词的重音位置，则同时打此标签以及“知识点->语音->读音->语音特征、变化”
② 如考查“连读、弱读、同化”，句子的语调，停顿等，不打此签，只打“知识点->语音->读音->语音特征、变化”",否,"【单选】Notice where the syllables (音节) are stressed (重读). Which word is different from the others?
【单选】找出 A、B、C、D 四个选项中重音与其他三项不同的一项。
【单词拼写】There is nothing ________ ['sɪəriəs] with your legs. You can walk slowly now.
【单词拼写】night (同音词) ________","找出 A、B、C、D 四个选项中重音与其他三项不同的一项。

A.guitar
B.mother
C.pencil
D.carrot",3436859008509870000,知识点->语音->读音->语音特征、变化,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->语音->读音->语音特征、变化,"① 常见题型：单选题(最常见)、听力单选（听录音选单词）、填空题
② 题干关键词：连读、弱读、不完全爆破、浊化sonorization 、同化、意群、语调intonation
③ 涉及考查知识点有：句子重音、连读、弱读、不完全爆破、同化、浊化；句子的语调
注意：① 如考查单词的重音位置，则同时打此标签以及“知识点->语音->读音->单词的读音”；如考查整个句子的重读，连读等现象，则只打此签","① 常见题型：单选题(最常见)、听力单选（听录音选单词）、填空题
② 题干关键词：连读、弱读、不完全爆破、浊化sonorization 、同化、意群、语调intonation
③ 涉及考查知识点有：句子重音、连读、弱读、不完全爆破、同化、浊化；句子的语调
注意：① 如考查单词的重音位置，则同时打此标签以及“知识点->语音->读音->单词的读音”；如考查整个句子的重读，连读等现象，则只打此签",否,"【单选】Which of the following words is with the pronunciation of sonorization (浊化)?
【单选】选出句子连读不正确的一项。
【单选】Which is the right intonation (语调)?
【填空】What do you like about your family?（填写正确选项的编号）
根据朗读规则，上句划线部分应该  _____（a.不完全爆破；b.连读），该句应使用_____（a.降调；b.升调）。","找出 A、B、C、D 四个选项中重音与其他三项不同的一项。

A.guitar
B.mother
C.pencil
D.carrot",3436859008509870000,知识点->语音->读音->单词的读音,梦迪,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->固定搭配/句型,"① 常见题型：单选题、语法填空、语法选择
② 涉及考查知识点常有：1. 固定搭配：动词短语（及物/不及物）、介词短语、形容词短语、名词短语，核心考查“固定搭配的固定用法”（如介词搭配、动词形式搭配，不考查词性变化，仅考查“正确搭配”）；
2. 固定句型：初中阶段必考基础句型、常用句型，核心考查“句型结构完整性”（如句式语序、固定连接词、句型中动词的正确形式，如to do/doing/do）、“句型含义匹配”（题干语境与句型表达的含义一致）；3. 延伸考查：固定搭配/句型的语境运用（结合上下文选择合适的搭配/句型）、同义替换（如be good at 与 do well in 的替换，仅在真题考查同义替换时涉及）。
注意：如在固定搭配外还涉及到词性变化、时态、语态等知识点，在打上其他知识点标签的同时，只要题干涉及到固定搭配/固定句型，都需要打上此标签","① 常见题型：单选题、语法填空、语法选择
② 涉及考查知识点常有：1. 固定搭配：动词短语（及物/不及物）、介词短语、形容词短语、名词短语，核心考查“固定搭配的固定用法”（如介词搭配、动词形式搭配，不考查词性变化，仅考查“正确搭配”）；
2. 固定句型：初中阶段必考基础句型、常用句型，核心考查“句型结构完整性”（如句式语序、固定连接词、句型中动词的正确形式，如to do/doing/do）、“句型含义匹配”（题干语境与句型表达的含义一致）；3. 延伸考查：固定搭配/句型的语境运用（结合上下文选择合适的搭配/句型）、同义替换（如be good at 与 do well in 的替换，仅在真题考查同义替换时涉及）。
注意：如在固定搭配外还涉及到词性变化、时态、语态等知识点，在打上其他知识点标签的同时，只要题干涉及到固定搭配/固定句型，都需要打上此标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇（音/形/义）->名词（短语）的音/形/义,"① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.名词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.名词的拼写规则、形式变化
注意：所有涉及到写名词性单词/短语的填空类题都打此类标签","① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.名词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.名词的拼写规则、形式变化
注意：所有涉及到写名词性单词/短语的填空类题都打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇（音/形/义）->动词（短语）的音/形/义,"① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.动词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.动词的拼写规则、形式变化
注意：所有涉及到写动词性单词/短语的填空类题都打此类标签","① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.动词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.动词的拼写规则、形式变化
注意：所有涉及到写动词性单词/短语的填空类题都打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
知识点->词汇->词汇（音/形/义）->形容词（短语）的音/形/义,"① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.形容词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.形容词的拼写规则、形式变化
注意：所有涉及到写形容词性单词/短语的填空类题都打此类标签","① 题型范畴限定在：各类填空题，如听力填空题、单词拼写、语法填空、首字母填空等
② 涉及考查知识点有：1.形容词（短语）的音标、重音、读音规律，常在听音、看音标填空等题型出现；2.形容词的拼写规则、形式变化
注意：所有涉及到写形容词性单词/短语的填空类题都打此类标签",否,,,,,晓蓓,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
